id,web_name,first_name,second_name,team,team_code,element_type,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,selected_by_percent,status,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution
1,Raya,David,Raya Martín,Arsenal,3,1,GKP,60,30,450,0,0,3,4,0,1,0,0,0,9,3,104,84.0,0.2,0.0,8.5,5,0.00,0.01,0.01,4.03,6.0,6.0,42.0,a,1,58,6,0
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,3,1,GKP,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,a,0,0,0,0
3,Meslier,Illan,Meslier,Arsenal,3,1,GKP,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
4,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,3,2,DEF,80,25,450,0,0,3,4,0,0,0,2,0,0,2,90,69.0,8.9,84.0,16.1,5,0.51,0.20,0.71,4.03,5.0,5.0,22.9,a,6,17,35,41
5,J.Timber,Jurriën,Timber,Arsenal,3,2,DEF,65,1,104,0,0,0,3,0,0,0,0,0,0,0,-3,6.0,1.9,0.0,0.8,1,0.00,0.03,0.03,2.18,0.2,0.5,0.3,a,3,7,2,5
6,Saliba,William,Saliba,Arsenal,3,2,DEF,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.2,i,0,0,0,0
7,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,3,3,MID,54,9,271,0,0,2,1,0,0,0,0,0,0,0,37,21.6,40.2,16.0,7.0,4,0.16,0.23,0.39,1.02,1.5,2.2,0.6,a,1,8,5,14
8,Calafiori,Riccardo,Calafiori,Arsenal,3,2,DEF,58,29,416,0,2,3,4,0,0,0,0,0,0,2,76,60.4,29.0,46.0,13.6,5,0.67,0.62,1.29,3.76,5.0,5.8,50.6,a,6,13,12,18
9,Hincapie,Piero,Hincapié,Arsenal,3,2,DEF,53,2,32,0,0,0,0,0,0,0,0,0,0,0,6,6.4,1.0,2.0,1.0,0,0.00,0.00,0.00,0.28,0.2,1.0,0.9,a,1,0,2,3
10,White,Benjamin,White,Arsenal,3,2,DEF,55,21,315,0,1,2,1,0,0,0,0,0,0,3,78,69.6,53.0,29.0,15.2,4,0.18,0.29,0.47,1.15,2.5,5.2,5.3,d,6,9,12,18
11,Mosquera,Cristhian,Mosquera,Arsenal,3,2,DEF,53,12,168,0,0,2,0,0,0,0,0,0,0,0,52,24.6,2.0,0.0,2.7,2,0.00,0.01,0.01,0.53,1.5,6.0,1.7,a,0,3,10,10
12,Saka,Bukayo,Saka,Arsenal,3,3,MID,95,32,416,3,0,3,4,0,0,0,0,0,0,4,137,139.8,78.8,204.0,42.2,5,3.22,0.98,4.20,3.58,5.8,6.4,13.4,a,6,17,8,31
13,Rice,Declan,Rice,Arsenal,3,3,MID,74,20,411,0,2,3,4,0,0,0,1,0,0,0,91,109.6,90.3,4.0,20.4,5,0.12,0.69,0.81,3.50,4.2,4.0,12.2,a,7,17,18,42
14,Eze,Eberechi,Eze,Arsenal,3,3,MID,63,4,85,0,0,0,0,0,0,0,0,0,0,0,18,1.8,3.8,5.0,0.9,0,0.04,0.09,0.13,1.33,0.8,1.0,1.0,a,0,5,0,5
15,Ødegaard,Martin,Ødegaard,Arsenal,3,3,MID,68,29,377,2,0,3,4,0,0,0,0,0,0,6,137,121.8,160.7,68.0,35.1,5,1.08,1.32,2.40,3.23,4.5,5.8,19.9,a,6,12,5,23
16,Madueke,Noni,Madueke,Arsenal,3,3,MID,62,2,23,0,0,0,0,0,0,0,0,0,0,0,11,11.6,43.9,0.0,5.6,0,0.00,0.05,0.05,0.15,0.2,1.0,0.2,a,1,2,0,3
17,Merino,Mikel,Merino Zazón,Arsenal,3,3,MID,58,4,81,0,0,0,0,0,0,0,1,0,0,0,19,6.6,3.4,14.0,2.4,0,0.14,0.15,0.29,0.96,0.8,0.8,0.4,a,0,9,1,10
18,Martinelli,Gabriel,Martinelli Silva,Arsenal,3,3,MID,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,u,0,0,0,0
19,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,3,3,MID,53,5,89,0,0,0,0,0,0,0,0,0,0,0,16,13.4,4.2,11.0,2.9,0,0.21,0.04,0.25,1.38,1.0,1.0,0.6,a,4,3,5,12
20,Dowman,Max,Dowman,Arsenal,3,3,MID,53,1,9,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0.00,0.08,0.08,0.31,0.2,1.0,0.1,a,0,0,0,0
22,Nwaneri,Ethan,Nwaneri,Arsenal,3,3,MID,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
23,Fábio Vieira,Fábio,Ferreira Vieira,Arsenal,3,3,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
24,Nelson,Reiss,Nelson,Arsenal,3,3,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
25,Gyökeres,Viktor,Gyökeres,Arsenal,3,4,FWD,71,2,29,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.1,0.0,0.0,0,0.00,0.23,0.23,0.65,0.5,1.0,3.1,a,0,1,0,1
26,Havertz,Kai,Havertz,Arsenal,3,4,FWD,76,19,437,2,0,3,4,0,0,0,1,0,0,2,82,84.2,66.0,137.0,28.7,5,1.67,0.37,2.04,3.91,3.2,3.8,8.5,a,0,7,6,13
27,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,3,4,FWD,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,u,0,0,0,0
31,Konsa,Ezri,Konsa Ngoyo,Arsenal,3,2,DEF,46,12,281,0,0,1,4,0,0,0,0,0,0,0,36,34.4,1.7,4.0,4.0,3,0.23,0.02,0.25,3.50,3.0,3.0,19.4,a,5,9,18,23
452,Bruno G.,Bruno,Guimarães Rodriguez Moura,Arsenal,3,3,MID,67,9,123,1,0,0,3,0,0,0,0,0,0,1,45,36.8,4.7,13.0,5.4,1,0.09,0.16,0.25,2.18,2.2,3.0,1.8,a,1,8,3,12
557,Tzolis,Christos,Tzolis,Arsenal,3,3,MID,63,16,362,0,2,2,4,0,0,0,2,0,0,1,81,51.4,108.9,40.0,20.1,5,0.19,0.55,0.74,2.73,2.5,3.2,12.6,a,4,12,7,23
29,M.Bizot,Marco,Bizot,Aston Villa,7,1,GKP,45,1,90,0,0,0,4,0,0,0,0,0,3,0,1,28.2,0.0,0.0,2.8,1,0.00,0.00,0.00,3.77,0.2,1.0,0.1,i,0,6,2,0
30,Digne,Lucas,Digne,Aston Villa,7,2,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
32,Cash,Matty,Cash,Aston Villa,7,2,DEF,44,6,296,0,0,1,7,0,0,0,2,0,0,0,16,32.4,19.2,13.0,6.5,3,0.15,0.04,0.19,5.95,1.2,1.5,5.0,a,6,2,11,17
33,Mings,Tyrone,Mings,Aston Villa,7,2,DEF,45,10,261,0,0,1,4,0,0,0,1,0,0,0,43,32.4,5.0,17.0,5.4,2,0.20,0.02,0.22,4.43,2.0,2.5,0.4,a,4,7,20,24
