id,web_name,first_name,second_name,team,team_code,element_type,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,form,points_per_game,selected_by_percent,status,tackles,recoveries,clearances_blocks_interceptions,defensive_contribution
1,Raya,David,Raya Martín,Arsenal,3,1,GKP,60,15,270,0,0,2,1,0,0,0,0,0,5,0,60,46.2,0.0,0.0,4.7,3,0.00,0.01,0.01,0.92,5.0,5.0,38.8,a,0,30,4,0
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,3,1,GKP,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,a,0,0,0,0
3,Meslier,Illan,Meslier,Arsenal,3,1,GKP,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,a,0,0,0,0
4,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,3,2,DEF,80,15,270,0,0,2,1,0,0,0,1,0,0,0,54,48.4,7.4,83.0,13.8,3,0.49,0.05,0.54,0.92,5.0,5.0,24.9,a,2,11,19,21
5,J.Timber,Jurriën,Timber,Arsenal,3,2,DEF,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,d,0,0,0,0
6,Saliba,William,Saliba,Arsenal,3,2,DEF,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.2,i,0,0,0,0
7,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,3,3,MID,55,8,226,0,0,2,1,0,0,0,0,0,0,0,35,21.6,38.8,16.0,7.0,3,0.16,0.23,0.39,0.79,2.7,2.7,0.7,a,1,8,5,14
8,Calafiori,Riccardo,Calafiori,Arsenal,3,2,DEF,57,22,236,0,2,2,1,0,0,0,0,0,0,2,61,51.6,27.3,39.0,11.8,3,0.54,0.58,1.12,0.65,7.3,7.3,47.4,a,3,6,6,9
9,Hincapie,Piero,Hincapié,Arsenal,3,2,DEF,53,2,32,0,0,0,0,0,0,0,0,0,0,0,6,6.4,1.0,2.0,1.0,0,0.00,0.00,0.00,0.28,0.7,1.0,1.1,a,1,0,2,3
10,White,Benjamin,White,Arsenal,3,2,DEF,55,20,270,0,1,2,1,0,0,0,0,0,0,3,74,65.4,52.2,23.0,14.1,3,0.18,0.29,0.47,0.92,6.7,6.7,7.6,a,4,9,11,15
11,Mosquera,Cristhian,Mosquera,Arsenal,3,2,DEF,54,12,168,0,0,2,0,0,0,0,0,0,0,0,52,24.6,2.0,0.0,2.7,2,0.00,0.01,0.01,0.53,4.0,6.0,3.6,d,0,3,10,10
12,Saka,Bukayo,Saka,Arsenal,3,3,MID,95,22,246,2,0,2,1,0,0,0,0,0,0,4,95,94.4,61.9,147.0,30.3,3,1.50,0.35,1.85,0.78,7.3,7.3,11.4,a,4,12,6,22
13,Rice,Declan,Rice,Arsenal,3,3,MID,74,13,241,0,1,2,1,0,0,0,0,0,0,0,51,64.6,53.9,4.0,12.3,3,0.10,0.26,0.36,0.78,4.3,4.3,13.7,a,3,11,10,24
14,Eze,Eberechi,Eze,Arsenal,3,3,MID,64,2,59,0,0,0,0,0,0,0,0,0,0,0,10,1.6,3.8,3.0,0.7,0,0.04,0.07,0.11,0.39,0.7,1.0,1.3,a,0,5,0,5
15,Ødegaard,Martin,Ødegaard,Arsenal,3,3,MID,66,24,221,2,0,2,1,0,0,0,0,0,0,6,101,102.4,102.5,66.0,27.1,3,1.01,1.05,2.06,0.66,8.0,8.0,13.0,a,5,8,3,16
16,Madueke,Noni,Madueke,Arsenal,3,3,MID,63,2,23,0,0,0,0,0,0,0,0,0,0,0,11,11.6,43.9,0.0,5.6,0,0.00,0.05,0.05,0.15,0.7,1.0,0.2,a,1,2,0,3
17,Merino,Mikel,Merino Zazón,Arsenal,3,3,MID,59,2,46,0,0,0,0,0,0,0,1,0,0,0,12,6.4,3.3,14.0,2.4,0,0.14,0.02,0.16,0.26,0.7,0.7,0.5,a,0,6,0,6
18,Martinelli,Gabriel,Martinelli Silva,Arsenal,3,3,MID,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,u,0,0,0,0
19,Zubimendi,Martín,Zubimendi Ibáñez,Arsenal,3,3,MID,54,3,50,0,0,0,0,0,0,0,0,0,0,0,9,10.0,4.0,11.0,2.5,0,0.08,0.04,0.12,0.28,1.0,1.0,0.7,a,3,2,4,9
20,Dowman,Max,Dowman,Arsenal,3,3,MID,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.1,a,0,0,0,0
22,Nwaneri,Ethan,Nwaneri,Arsenal,3,3,MID,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
23,Fábio Vieira,Fábio,Ferreira Vieira,Arsenal,3,3,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
24,Nelson,Reiss,Nelson,Arsenal,3,3,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,u,0,0,0,0
25,Gyökeres,Viktor,Gyökeres,Arsenal,3,4,FWD,73,1,12,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,0,0.00,0.00,0.00,0.11,0.3,1.0,4.1,a,0,1,0,1
